Location,Latitude,Longitude,Geography_ID
Red Sea,20.0248,38.4931,1
Great Barrier Reef,-18.2988,147.7782,2
Caribbean Sea,14.9768,-75.0233,3
Great Barrier Reef,-18.3152,147.6486,4
Galápagos,-0.8805,-90.9769,5
Red Sea,20.0055,38.4425,6
South China Sea,9.9699,115.0926,7
Red Sea,19.939,38.5104,8
Maldives,3.2397,73.2293,9
Caribbean Sea,14.964,-75.023,10
Galápagos,-0.9376,-90.9849,11
Caribbean Sea,15.0466,-75.042,12
Galápagos,-0.9778,-90.9749,13
South China Sea,10.0678,114.9964,14
Red Sea,20.0181,38.5769,15
South China Sea,10.0411,115.0044,16
Caribbean Sea,14.989,-74.9821,17
Caribbean Sea,14.9749,-74.9542,18
Caribbean Sea,15.0049,-74.9516,19
Maldives,3.1296,73.2355,20
Great Barrier Reef,-18.3579,147.6782,21
Hawaiian Islands,19.917,-155.4885,22
Great Barrier Reef,-18.383,147.6979,23
Great Barrier Reef,-18.272,147.6975,24
Red Sea,20.0396,38.4545,25
Red Sea,20.1095,38.4505,26
Hawaiian Islands,19.8193,-155.5794,27
Galápagos,-0.8763,-91.0048,28
Galápagos,-0.9424,-90.9002,29
Maldives,3.2419,73.1589,30
Red Sea,20.0125,38.5173,31
Great Barrier Reef,-18.3228,147.7925,32
Maldives,3.1541,73.2601,33
Red Sea,20.0206,38.5411,34
South China Sea,9.9555,114.9592,35
Hawaiian Islands,19.9382,-155.5821,36
Caribbean Sea,15.0313,-75.0429,37
Caribbean Sea,15.0357,-74.9763,38
Great Barrier Reef,-18.3094,147.742,39
South China Sea,10.0193,114.9558,40
Galápagos,-0.9359,-90.9376,41
South China Sea,9.9531,115.0258,42
Red Sea,20.0285,38.5568,43
Red Sea,20.0379,38.4614,44
Maldives,3.3185,73.1273,45
Galápagos,-0.8994,-90.9624,46
Great Barrier Reef,-18.3236,147.71,47
Great Barrier Reef,-18.2554,147.5979,48
Galápagos,-0.9934,-90.9713,49
Hawaiian Islands,19.8801,-155.6065,50
South China Sea,9.937,115.0459,51
Red Sea,19.9758,38.5633,52
Hawaiian Islands,19.8505,-155.5858,53
Galápagos,-1.0162,-90.884,54
Great Barrier Reef,-18.215,147.6274,55
South China Sea,10.0231,115.01,56
Galápagos,-0.9481,-90.9325,57
Maldives,3.1052,73.2131,58
Hawaiian Islands,19.8864,-155.6075,59
Red Sea,19.9654,38.545,60
Galápagos,-0.9952,-90.9936,61
Hawaiian Islands,19.9027,-155.5189,62
South China Sea,9.9891,115.0549,63
Great Barrier Reef,-18.286,147.7333,64
South China Sea,10.0048,115.0298,65
South China Sea,9.9393,115.0579,66
Red Sea,19.9994,38.4551,67
Red Sea,19.9926,38.4587,68
Great Barrier Reef,-18.3282,147.7114,69
Maldives,3.2144,73.1483,70
Galápagos,-0.9383,-90.8918,71
Great Barrier Reef,-18.3372,147.6983,72
Hawaiian Islands,19.9228,-155.5062,73
Galápagos,-0.9739,-90.9544,74
Maldives,3.204,73.2456,75
Great Barrier Reef,-18.3255,147.7428,76
Galápagos,-0.9958,-90.9956,77
Caribbean Sea,15.0075,-74.9829,78
South China Sea,9.9551,115.0246,79
Caribbean Sea,14.9765,-75.0857,80
Galápagos,-1.0335,-90.9956,81
Caribbean Sea,15.0311,-75.0534,82
