Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave,RF_Predicted_Species_Population,RF_Prediction_Confidence,Risk_Cluster
2015-01-01,Red Sea,20.0248,38.4931,29.47,8.107,Unknown,106,False,109.79561111111111,0.7679702990689681,Critical
2015-01-07,Great Barrier Reef,-18.2988,147.7782,29.65,8.004,High,116,False,118.77189682539682,0.7679702990689681,At-Risk
2015-01-14,Caribbean Sea,14.9768,-75.0233,28.86,7.947,High,90,False,118.72121748400856,0.7679702990689681,At-Risk
2015-01-20,Great Barrier Reef,-18.3152,147.6486,28.97,7.995,Medium,94,False,107.60864610389609,0.7679702990689681,Critical
2015-01-27,Galápagos,-0.8805,-90.9769,28.6,7.977,Unknown,110,False,114.95341414141416,0.7679702990689681,At-Risk
2015-02-02,Red Sea,20.0055,38.4425,29.06,8.009,Low,109,False,114.8347492300403,0.7679702990689681,At-Risk
2015-02-09,South China Sea,9.9699,115.0926,28.48,7.998,Unknown,132,False,131.19564285714284,0.7679702990689681,Stable
2015-02-16,Red Sea,19.939,38.5104,25.56,8.042,Low,152,False,154.6735793650794,0.7679702990689681,Stable
2015-02-22,Maldives,3.2397,73.2293,28.33,8.038,Low,99,False,106.1278872864283,0.7679702990689681,Critical
2015-03-01,Caribbean Sea,14.964,-75.023,30.09,8.035,High,77,True,113.27101803751805,0.7679702990689681,At-Risk
2015-03-07,Galápagos,-0.9376,-90.9849,27.48,8.101,Unknown,145,False,139.28849134199135,0.7679702990689681,Stable
2015-03-14,Caribbean Sea,15.0466,-75.042,28.04,8.076,High,139,False,126.09410389610392,0.7679702990689681,At-Risk
2015-03-21,Galápagos,-0.9778,-90.9749,26.84,8.023,Unknown,148,False,148.9709790764791,0.7679702990689681,Stable
2015-03-27,South China Sea,10.0678,114.9964,30.01,8.038,High,95,True,102.68635606060604,0.7679702990689681,Critical
2015-04-03,Red Sea,20.0181,38.5769,28.45,8.129,High,81,False,105.4172857142857,0.7679702990689681,Critical
2015-04-09,South China Sea,10.0411,115.0044,28.05,8.064,Medium,94,False,121.16366341991338,0.7679702990689681,At-Risk
2015-04-16,Caribbean Sea,14.989,-74.9821,30.72,7.98,High,85,True,92.7851132756133,0.7679702990689681,Critical
2015-04-22,Caribbean Sea,14.9749,-74.9542,28.99,8.014,Unknown,122,False,116.55693782405496,0.7679702990689681,At-Risk
2015-04-29,Caribbean Sea,15.0049,-74.9516,27.45,8.055,Low,124,False,130.35973015873017,0.7679702990689681,At-Risk
2015-05-06,Maldives,3.1296,73.2355,28.89,8.042,Low,112,False,116.30372578126676,0.7679702990689681,At-Risk
2015-05-12,Great Barrier Reef,-18.3579,147.6782,27.99,8.02,Unknown,122,False,120.0171854256854,0.7679702990689681,At-Risk
2015-05-19,Hawaiian Islands,19.917,-155.4885,28.76,8.058,Low,116,False,117.77631918729627,0.7679702990689681,At-Risk
2015-05-25,Great Barrier Reef,-18.383,147.6979,28.59,8.171,Medium,116,False,112.21309018759018,0.7679702990689681,At-Risk
2015-06-01,Great Barrier Reef,-18.272,147.6975,26.75,8.142,Medium,148,False,144.2250634920635,0.7679702990689681,Stable
2015-06-08,Red Sea,20.0396,38.4545,30.6,7.938,Unknown,107,True,106.38476190476196,0.7679702990689681,Critical
2015-06-14,Red Sea,20.1095,38.4505,27.65,8.072,Unknown,120,False,120.68102056277056,0.7679702990689681,At-Risk
2015-06-21,Hawaiian Islands,19.8193,-155.5794,26.91,8.106,Low,122,False,132.89204437229432,0.7679702990689681,Stable
2015-06-27,Galápagos,-0.8763,-91.0048,28.02,8.1,High,106,False,118.2984491341991,0.7679702990689681,At-Risk
2015-07-04,Galápagos,-0.9424,-90.9002,26.09,8.107,Low,148,False,145.52158152958154,0.7679702990689681,Stable
2015-07-10,Maldives,3.2419,73.1589,26.52,8.116,High,144,False,141.47059920634922,0.7679702990689681,Stable
2015-07-17,Red Sea,20.0125,38.5173,27.48,8.082,Medium,134,False,126.52110317460318,0.7679702990689681,At-Risk
2015-07-24,Great Barrier Reef,-18.3228,147.7925,29.21,7.976,High,122,False,123.39419047619049,0.7679702990689681,At-Risk
2015-07-30,Maldives,3.1541,73.2601,30.24,7.974,Low,117,True,108.8601904761905,0.7679702990689681,Critical
2015-08-06,Red Sea,20.0206,38.5411,31.35,7.981,Medium,80,True,95.80863492063497,0.7679702990689681,Critical
2015-08-12,South China Sea,9.9555,114.9592,28.38,8.069,Low,125,False,120.26217286240845,0.7679702990689681,At-Risk
2015-08-19,Hawaiian Islands,19.9382,-155.5821,30.68,7.993,Low,138,True,116.02469624819622,0.7679702990689681,At-Risk
2015-08-26,Caribbean Sea,15.0313,-75.0429,26.89,8.106,Medium,132,False,136.24849675324674,0.7679702990689681,Stable
2015-09-01,Caribbean Sea,15.0357,-74.9763,28.39,8.01,Low,98,False,104.74407804494518,0.7679702990689681,Critical
2015-09-08,Great Barrier Reef,-18.3094,147.742,28.82,7.981,Medium,119,False,118.24306349206347,0.7679702990689681,At-Risk
2015-09-14,South China Sea,10.0193,114.9558,28.73,8.048,Medium,100,False,116.97082779519492,0.7679702990689681,At-Risk
2015-09-21,Galápagos,-0.9359,-90.9376,30.12,8.07,Unknown,83,True,96.40464285714283,0.7679702990689681,Critical
2015-09-27,South China Sea,9.9531,115.0258,29.27,8.06,Medium,170,False,137.1037103174603,0.7679702990689681,Stable
2015-10-04,Red Sea,20.0285,38.5568,29.93,8.054,Unknown,100,False,102.86951948051951,0.7679702990689681,Critical
2015-10-11,Red Sea,20.0379,38.4614,28.14,8.033,High,124,False,123.81132859511958,0.7679702990689681,At-Risk
2015-10-17,Maldives,3.3185,73.1273,29.53,7.949,Unknown,102,False,107.05453891257999,0.7679702990689681,Critical
2015-10-24,Galápagos,-0.8994,-90.9624,26.88,8.047,Unknown,146,False,148.83784415584418,0.7679702990689681,Stable
2015-10-30,Great Barrier Reef,-18.3236,147.71,28.57,8.016,Low,151,False,115.18424494949491,0.7679702990689681,At-Risk
2015-11-06,Great Barrier Reef,-18.2554,147.5979,28.78,8.011,Unknown,129,False,120.87270418470415,0.7679702990689681,At-Risk
2015-11-13,Galápagos,-0.9934,-90.9713,29.26,8.078,Medium,94,False,101.53337094547966,0.7679702990689681,Critical
2015-11-19,Hawaiian Islands,19.8801,-155.6065,27.52,8.158,Unknown,135,False,133.1308831168831,0.7679702990689681,Stable
2015-11-26,South China Sea,9.937,115.0459,31.68,8.038,Medium,65,True,82.91724206349208,0.7679702990689681,Critical
2015-12-02,Red Sea,19.9758,38.5633,27.44,8.093,Medium,142,False,134.6113611111111,0.7679702990689681,Stable
2015-12-09,Hawaiian Islands,19.8505,-155.5858,23.64,8.096,High,164,False,160.3900912698413,0.7679702990689681,Stable
2015-12-16,Galápagos,-1.0162,-90.884,26.35,8.071,Low,143,False,143.17756204906212,0.7679702990689681,Stable
2015-12-22,Great Barrier Reef,-18.215,147.6274,30.24,8.016,Low,87,True,100.07253571428569,0.7679702990689681,Critical
2015-12-29,South China Sea,10.0231,115.01,27.6,8.071,Unknown,123,False,128.7466991341991,0.7679702990689681,At-Risk
2016-01-04,Galápagos,-0.9481,-90.9325,30.88,7.941,Low,128,True,105.80329761904764,0.7679702990689681,Critical
2016-01-11,Maldives,3.1052,73.2131,29.38,8.046,Low,101,False,108.1372254205165,0.7679702990689681,Critical
