Date,Location,Latitude,Longitude,SST (°C),pH Level,Species Observed,RF_Predicted_Species,Prediction_Error,Risk_Cluster
2015-01-01,Red Sea,20.0248,38.4931,29.47,8.107,106,111.97,-5.97,At_Risk
2015-01-07,Great Barrier Reef,-18.2988,147.7782,29.65,8.004,116,112.29,3.71,At_Risk
2015-01-14,Caribbean Sea,14.9768,-75.0233,28.86,7.947,90,118.36,-28.36,Critical
2015-01-20,Great Barrier Reef,-18.3152,147.6486,28.97,7.995,94,118.32,-24.32,Critical
2015-01-27,Galápagos,-0.8805,-90.9769,28.6,7.977,110,119.22,-9.22,At_Risk
2015-02-02,Red Sea,20.0055,38.4425,29.06,8.009,109,116.12,-7.12,At_Risk
2015-02-09,South China Sea,9.9699,115.0926,28.48,7.998,132,119.22,12.78,At_Risk
2015-02-16,Red Sea,19.939,38.5104,25.56,8.042,152,152.43,-0.43,Stable
2015-02-22,Maldives,3.2397,73.2293,28.33,8.038,99,118.55,-19.55,At_Risk
2015-03-01,Caribbean Sea,14.964,-75.023,30.09,8.035,77,108.87,-31.87,Critical
2015-03-07,Galápagos,-0.9376,-90.9849,27.48,8.101,145,129.74,15.26,Stable
2015-03-14,Caribbean Sea,15.0466,-75.042,28.04,8.076,139,123.51,15.49,Stable
2015-03-21,Galápagos,-0.9778,-90.9749,26.84,8.023,148,148.7,-0.7,Stable
2015-03-27,South China Sea,10.0678,114.9964,30.01,8.038,95,109.57,-14.57,Critical
2015-04-03,Red Sea,20.0181,38.5769,28.45,8.129,81,116.76,-35.76,At_Risk
2015-04-09,South China Sea,10.0411,115.0044,28.05,8.064,94,123.25,-29.25,At_Risk
2015-04-16,Caribbean Sea,14.989,-74.9821,30.72,7.98,85,99.48,-14.48,Critical
2015-04-22,Caribbean Sea,14.9749,-74.9542,28.99,8.014,122,116.92,5.08,At_Risk
2015-04-29,Caribbean Sea,15.0049,-74.9516,27.45,8.055,124,127.94,-3.94,At_Risk
2015-05-06,Maldives,3.1296,73.2355,28.89,8.042,112,118.39,-6.39,At_Risk
2015-05-12,Great Barrier Reef,-18.3579,147.6782,27.99,8.02,122,123.34,-1.34,At_Risk
2015-05-19,Hawaiian Islands,19.917,-155.4885,28.76,8.058,116,118.27,-2.27,At_Risk
