grid_lat,grid_lon,year,month,Plastic_Density_kg_km2,Plastic_Record_Count,Plastic_Types_Present,Ocean_Zone,Species_Count,Unique_Species,Taxonomic_Groups,Dominant_IUCN,Observation_Types,SST_C,pH,Species_Obs,Heatwave_Pct,Country,Waste_Source,Coastal_Risk,Recycling_Rate_Pct,Avg_Temp_C,Temp_Change_C,co2_ppm,CO2_Change_ppm,Sea_Level_Change_mm,Regional_Contribution_Pct,Habitat_Type
5,70,2016,5.0,0.0179096063499392,1.0,PET,Arabian_Sea,,,,,,28.52,8.103399999999999,123.0,0.4,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,35.33,Open_Ocean
5,76,2015,4.0,0.0282271990920306,1.0,PS,Bay_of_Bengal,,,,,,28.732,8.048399999999999,101.2,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
5,76,2024,,,,,Bay_of_Bengal,6.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Open_Ocean
5,77,2024,,,,,Bay_of_Bengal,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Open_Ocean
5,83,2015,2.0,0.0269981764507271,1.0,PP,Bay_of_Bengal,,,,,,27.8575,8.02175,123.0,0.0,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
5,92,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
5,93,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
6,69,2015,12.0,0.0325683795338278,1.0,PET,Arabian_Sea,,,,,,27.054,8.0694,131.8,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
6,71,2015,8.0,0.0390814684133498,1.0,PVC,Arabian_Sea,,,,,,29.325,8.03725,118.75,0.5,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
6,76,2024,,,,,Bay_of_Bengal,5.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Open_Ocean
6,77,2024,,,,,Bay_of_Bengal,3.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Open_Ocean
6,78,2016,4.0,0.0364623455747386,1.0,PS,Bay_of_Bengal,,,,,,28.68,8.05475,114.0,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
6,80,2016,6.0,0.0110123581573224,1.0,PET,Bay_of_Bengal,,,,,,28.44,8.0762,125.2,0.2,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
6,85,2015,7.0,0.0062954959488056,1.0,PVC,Bay_of_Bengal,,,,,,27.908,8.051,133.0,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
6,86,2015,6.0,0.0136989727576521,1.0,PS,Bay_of_Bengal,,,,,,27.986,8.0716,120.6,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
