species_scientific_name,species_common_name,taxonomic_group,family,latitude,longitude,country,state_province,event_date,year,month,data_source,observation_type,occurrence_id,india_role,migration_season,location_type,seasonal_density,iucn_red_list_status,grid_lat,grid_lon,Habitat_Type
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,12.758315,80.373937,India,Coastal India / Marine,2023-02-24 17:21:58,2023,2,GBIF,Scientific,5036905500,Regional Migrant,Winter (Peak),Terrestrial,Moderate,DD,12,80,Coral_Reef
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,15.0,90.0,India,Coastal India / Marine,,2024,1,GBIF,Scientific,90235174,Regional Migrant,Winter (Peak),Terrestrial,High,DD,15,90,Open_Ocean
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,13.7375,80.265831,India,Coastal India / Marine,,2024,1,GBIF,Scientific,1699148819,Regional Migrant,Winter (Peak),Terrestrial,High,DD,13,80,Mangrove
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,15.3556152003,73.7555950508,India,Coastal India / Marine,,2022,10,iNaturalist,Scientific,199444828,Regional Migrant,Autumn/Passage,Terrestrial,Moderate,DD,15,73,Coral_Reef
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,21.944213,88.898022,India,Coastal India / Marine,,2024,1,GBIF,Scientific,4407771469,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,21,88,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9820369,72.8066809997,India,Maharashtra (Coastal),,2025,12,iNaturalist,Scientific,329165352,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9832572454,72.806209065,India,Maharashtra (Coastal),,2025,10,iNaturalist,Scientific,320425803,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0550954217,72.8207148276,India,Maharashtra (Coastal),,2025,5,iNaturalist,Scientific,277315459,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.4284459861,72.7509655151,India,Maharashtra (Coastal),,2025,4,iNaturalist,Scientific,277077579,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.98265,72.8062533333,India,Maharashtra (Coastal),,2025,4,iNaturalist,Scientific,275353475,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.979455,72.807695,India,Maharashtra (Coastal),,2025,3,iNaturalist,Scientific,268028513,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9573789722,72.794961,India,Maharashtra (Coastal),,2025,4,iNaturalist,Scientific,268017400,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9821676,72.8065904997,India,Maharashtra (Coastal),,2025,2,iNaturalist,Scientific,260887738,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0742566667,72.8178916667,India,Maharashtra (Coastal),,2025,1,iNaturalist,Scientific,260263473,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0460327,72.8203445,India,Maharashtra (Coastal),,2025,1,iNaturalist,Scientific,259638404,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8040881972,72.8701941,India,Maharashtra (Coastal),,2024,9,iNaturalist,Scientific,247422243,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,20.2517698415,72.7464615181,India,Coastal India / Marine,,2024,2,iNaturalist,Scientific,199980918,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,20,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,20.2518415588,72.7464574948,India,Coastal India / Marine,,2024,2,iNaturalist,Scientific,199980787,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,20,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,28.7038718781,77.1024903283,India,Coastal India / Marine,,2024,1,iNaturalist,Scientific,194905940,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,28,77,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0538633333,72.819,India,Maharashtra (Coastal),,2023,10,iNaturalist,Scientific,189100606,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1720454868,72.7911400795,India,Maharashtra (Coastal),,2023,6,iNaturalist,Scientific,165756743,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0549467957,72.819968462,India,Maharashtra (Coastal),,2023,5,iNaturalist,Scientific,164405321,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9784133333,72.8046583333,India,Maharashtra (Coastal),,2023,5,iNaturalist,Scientific,162462458,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.95867,72.79666,India,Maharashtra (Coastal),,2023,5,iNaturalist,Scientific,160690522,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.069875,72.8229616667,India,Maharashtra (Coastal),,2023,1,iNaturalist,Scientific,146892119,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9574116667,72.7949666667,India,Maharashtra (Coastal),,2022,11,iNaturalist,Scientific,143898527,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.07342,72.8180866667,India,Maharashtra (Coastal),,2022,11,iNaturalist,Scientific,143460214,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9386460192,72.7521642276,India,Maharashtra (Coastal),,2022,10,iNaturalist,Scientific,141435465,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
